名称	代码	最新价	日涨幅	溢价率	日均成交（万）	近一月	年初至今	近一年	近三年	近五年	规模（亿）	运作费率	跟踪指数	上市日期	基金公司	分类
房地产ETF基金	515060	0.954	-0.0215	0	2730.17	0.0138	-0.0619	-0.0175	-	-	2.37	0.006	房地产指数	43833	华夏基金	行业，金融，房地产
银行ETF优选	517900	0.983	-0.018	-0.001	46.22	0.0197	-	-	-	-	2.88	0.006	银行AH人民币指数	44645	招商基金	行业，金融，银行
300增强ETF	561300	0.858	-0.0138	0	58152.91	0.0712	-0.1072	-	-	-	15.78	0.011	沪深300指数	44540	国泰基金	宽基，大盘股
证券ETF建信	515560	0.857	-0.0104	0.0012	1371.25	0.0686	-0.1923	-0.0844	-	-	4.71	0.0025	证券公司指数	44032	建信基金	行业，金融，证券
深证100ETF易方达	159901	3.434	-0.0129	-0.0023	11711.48	0.1142	-0.1206	-0.1396	0.4869	0.5372	66.09	0.006	深证100指数	38831	易方达基金	宽基，大盘股
医药50ETF	512120	0.609	-0.0177	-0.0016	1871.43	0.1918	-0.1106	-0.25	0.2583	0.2688	2.27	0.006	细分医药指数	41645	华安基金	行业，医药
公共卫生健康ETF	159760	0.871	-0.0191	0	1559.97	0.185	-0.1229	-	-	-	2.01	0.006	公卫健康指数	44550	泰康资产	行业，医药，公共卫生
上证50ETF易方达	510100	1.231	-0.0176	0	2912.93	0.0865	-0.0702	-0.0861	-	-	8.27	0.002	上证50指数	43747	易方达基金	宽基，大盘股
证券ETF	159841	0.86	-0.0104	0.0012	10087.84	0.067	-0.1948	-0.087	-	-	40.1	0.006	证券公司指数	44236	天弘基金	行业，金融，证券
双创基金ETF	159783	0.691	0.0014	0	25091.69	0.0916	-0.1832	-0.2935	-	-	50.17	0.006	科创创业50指数	44382	华夏基金	宽基，中小盘
大数据ETF	515400	0.733	-0.0041	0.0014	1974.43	0.0532	-0.2633	-0.2333	-	-	2.29	0.006	中证数据指数	44216	富国基金	主题，新兴产业
中国A50ETF	159602	0.919	-0.0171	-0.0011	12202.63	0.0902	-0.0792	-	-	-	32.92	0.006	MSCI中国A50互联互通人民币指数	44508	南方基金	MSCI
日经225ETF易方达	513000	0.978	-0.0081	-0.002	163.75	-0.086	-0.1761	-0.2087	-0.0346	-	0.611	0.0025	日经225指数	43641	易方达基金	跨境，日本
黄金基金ETF	518800	3.686	-0.0186	0.0024	19289.97	-0.0391	0.0216	0.0208	0.191	0.3743	6.26	0.006	黄金9999指数	41484	国泰基金	商品，黄金
电池龙头ETF	159767	1.02	-0.0039	-0.002	729.86	0.2085	0.0231	-	-	-	1.59	0.006	新能电池指数	44431	兴银基金	主题，新兴产业，新能源车
电池30ETF	159757	1.019	-0.0039	0.001	8095.32	0.216	0.0252	-	-	-	5.45	0.006	新能电池指数	44417	景顺长城基金	主题，新兴产业，新能源车
港股通50ETF	513550	0.818	-0.0215	-0.0085	9743.86	0.0212	-0.0354	-0.1812	-	-	31.28	0.006	港股通50港元指数	44209	华泰柏瑞基金	跨境，香港
消费龙头ETF	516130	0.927	-0.0159	-0.0022	1064.12	0.101	-0.0858	-	-	-	0.955	0.006	消费龙头指数	44482	华宝基金	行业，消费
科创信息技术ETF	588100	1.011	0.0171	0.001	9267.65	-0.075	-	-	-	-	14.04	0.006	科创信息指数	44708	嘉实基金	行业，信息技术
光伏ETF华安	159618	1.375	-0.0051	0.0022	1993.74	0.1853	-	-	-	-	3.99	0.006	光伏产业指数	44673	华安基金	主题，光伏，新兴产业
碳中和50ETF	516070	0.761	-0.0026	-0.0026	6863.89	0.1762	0.0013	0.206	-	-	5.22	0.002	内地低碳指数	44309	易方达基金	主题，低碳
新能源车电池ETF	159775	1.082	-0.0064	-0.0009	437.44	0.2049	-	-	-	-	0.749	0.006	新能电池指数	44585	建信基金	主题，新兴产业，新能源车
计算机ETF	512720	1.063	-0.0093	0.0009	3881.14	0.0609	-0.254	-0.2689	-	-	8.13	0.006	CS计算机指数	43693	国泰基金	行业，计算机
智能汽车50ETF	516590	1.38	-0.0029	-0.0007	2733.85	0.1587	-0.072	0.0415	-	-	1.54	0.002	智能电车指数	44328	易方达基金	主题，智能汽车
光伏ETF平安	516180	1.401	-0.0092	-0.0007	2502.36	0.1823	0.0072	0.3317	-	-	1.35	0.006	光伏产业指数	44258	平安基金	主题，光伏，新兴产业
金融ETF	510230	0.969	-0.0122	0	5801.03	0.0521	-0.0806	-0.1191	-0.1279	0.0317	36.29	0.006	180金融指数	40686	国泰基金	行业，金融
VRETF	159786	0.777	0.0039	0.0078	2101.79	0.0224	-0.3208	-	-	-	1.91	0.006	中证VR指数	44414	银华基金	主题，增强现实
基建ETF	159619	0.912	-0.0172	0.0022	4061.5	0.0122	-	-	-	-	3.59	0.006	中证基建指数	44610	国泰基金	主题，基建
科技100ETF	515580	0.829	-0.0096	0	2026.17	0.0908	-0.1489	-0.0633	-	-	4.33	0.006	科技100指数	43766	华泰柏瑞基金	主题，新兴产业，科技
医疗保健ETF	516790	0.832	-0.013	0.0036	1078.88	0.1183	-0.127	-	-	-	1.6	0.006	医疗保健指数	44431	华泰柏瑞基金	行业，医药，医疗保健
中证500ETF基金	510510	1.931	-0.0113	0.0005	2674.91	0.0592	-0.1191	-0.0287	0.341	0.124	27.79	0.006	中证500指数	41418	广发基金	宽基，中小盘
MSCI中国A50ETF	560050	0.917	-0.015	0	85330.68	0.0904	-0.0802	-	-	-	97.07	0.006	MSCI中国A50互联互通人民币指数	44508	汇添富基金	MSCI
光伏50ETF	516880	1.407	-0.0064	0	5794.46	0.1873	-	0.2908	-	-	10.11	0.006	光伏产业指数	44214	银华基金	主题，光伏，新兴产业
港股消费ETF	159735	0.713	-0.0219	0.0014	2906.07	0.0485	-0.111	-0.2604	-	-	0.718	0.006	HKC消费港元指数	44351	银华基金	跨境，香港，消费
银行ETF	159887	0.908	-0.0141	0	5528.52	0.0295	-0.0173	-0.0706	-	-	2.78	0.006	800银行指数	44336	富国基金	行业，金融，银行
电子ETF	159997	1.006	0.005	0	4732.94	0.0193	-0.2673	-0.2537	-	-	11.54	0.006	CS电子指数	43910	天弘基金	行业，电子
新能车ETF	159824	1.548	-0.0077	-0.0006	3142.22	0.2208	0.0245	0.1526	-	-	2.91	0.006	CS新能车指数	44207	博时基金	主题，新兴产业，新能源车
物联网ETF	516330	0.952	-0.0021	-0.001	799.2	0.0106	-0.2384	-0.2119	-	-	0.584	0.006	CS物联网指数	44295	华泰柏瑞基金	主题，物联网
高端制造ETF	562910	0.969	-0.0051	0.001	619.76	0.1294	-	-	-	-	0.449	0.002	装备产业指数	44571	易方达基金	主题，装备制造
化工龙头ETF	516220	1.028	-0.0247	-0.001	3468.57	0.1102	-0.0517	-0.0265	-	-	1.84	0.006	细分化工指数	44265	国泰基金	行业，化工
港股通100ETF	513900	0.897	-0.0197	-0.0066	3170.54	0.031	-0.0637	-0.2145	-0.1283	-	2.15	0.007	中华港股通精选100人民币指数	43245	华安基金	跨境，香港
300ETF基金	510330	4.452	-0.0131	-0.0004	45291.4	0.0882	-0.0967	-0.1164	0.1923	0.3107	227.83	0.006	沪深300指数	41290	华夏基金	宽基，大盘股
智能车ETF	159888	1.056	0.0028	-0.0009	661.89	0.0721	-0.2119	-0.0873	-	-	0.897	0.006	CS智汽车指数	44337	华夏基金	主题，智能汽车
新能源龙头ETF	159752	1.071	-0.0083	-0.0037	1039.54	0.1913	-0.0174	-	-	-	2.05	0.006	新能源指数	44405	申万菱信基金	主题，新兴产业，新能源
5GETF	159994	0.744	0.0013	0.0013	4192.03	-0.0093	-0.2846	-0.2361	-	-	21.75	0.006	5G通信指数	43889	银华基金	主题，新兴产业，5G
有色ETF基金	159880	1.256	-0.0264	-0.0024	440.88	0.1027	-0.0172	0.1164	-	-	0.329	0.006	国证有色指数	44280	鹏华基金	行业，资源，有色金属
建材ETF	516750	1.036	-0.0124	0.0019	3305.95	0.0475	-0.0832	-	-	-	0.473	0.006	建筑材料指数	44505	富国基金	行业，建筑材料
红利50ETF	159758	0.929	-0.0303	-0.0011	241.36	0.0641	-0.071	-	-	-	1.81	0.006	红利质量指数	44558	华夏基金	策略，红利，价值
战略新兴ETF	512770	2.044	-0.0029	0.0005	317.73	0.1394	-0.0984	-0.1324	1.044	-	3.5	0.006	新兴成指	43328	华夏基金	主题，新兴产业
红利低波ETF	512890	0.832	-0.0212	0	2240.21	-0.0083	0.0465	0.1175	0.4382	-	1.36	0.006	红利低波指数	43483	华泰柏瑞基金	策略，红利
养老ETF	516560	0.89	-0.0231	-0.0011	222.35	0.0723	-0.1467	-	-	-	0.75	0.006	养老产业指数	44455	华宝基金	主题，养老
智能车ETF基金	159795	0.916	0.0022	-0.0011	719.51	0.0776	-	-	-	-	0.939	0.002	CS智汽车指数	44606	汇添富基金	主题，智能汽车
1000成长ETF	562520	1.054	-0.0094	-0.0038	326.35	0.0866	-	-	-	-	3.1	0.006	1000成长创新指数	44642	华夏基金	策略，成长，价值
化工行业ETF	516570	1.01	-0.0251	0	1195.55	0.0907	-0.0417	-	-	-	0.361	0.002	石化产业指数	44365	易方达基金	行业，化工，石油化工
中证500ETF易方达	510580	0.757	-0.0105	0.0026	3048.79	0.0647	-0.1105	-0.0071	0.4902	0.2243	16.77	0.002	中证500指数	42261	易方达基金	宽基，中小盘
医药ETF	159929	1.863	-0.0158	0	5221.84	0.1695	-0.1133	-0.2723	0.2839	0.2596	8.85	0.006	中证医药指数	41533	汇添富基金	行业，医药
证券ETF基金	512900	0.939	-0.0116	0	10458.02	0.0634	-0.1974	-0.0962	-0.0126	-0.0239	78.29	0.006	证券公司指数	42825	南方基金	行业，金融，证券
港股通医药ETF	513200	1.016	-0.001	-0.0049	5416.91	0.259	-	-	-	-	0.582	0.002	HKC医药C港元指数	44603	易方达基金	跨境，香港，医药
软件ETF	159852	0.798	-0.005	-0.0013	1646.98	0.057	-0.257	-0.2577	-	-	2.78	0.006	软件服务指数	44236	嘉实基金	主题，新兴产业，软件
科创50ETF基金	588180	0.71	0.0114	-0.0028	3136.77	0.0157	-0.2058	-0.2991	-	-	14.96	0.0035	科创50指数	44378	国联安基金	宽基，中小盘
医疗ETF	159828	0.745	-0.0132	0.0027	10627.4	0.1641	-0.1131	-0.3366	-	-	13.16	0.006	中证医疗指数	44208	国泰基金	行业，医药
机器人ETF	562500	0.816	-0.0024	0	496.26	0.0983	-0.1782	-	-	-	1.35	0.006	机器人指数	44559	华夏基金	主题，新兴产业，机器人
化工50ETF	516120	0.99	-0.0237	-0.002	2685.58	0.1074	-0.0544	-0.0217	-	-	2.32	0.006	细分化工指数	44264	富国基金	行业，化工
日经ETF	513520	0.969	-0.0041	0.0021	616.32	-0.078	-0.1781	-0.209	-0.0425	-	0.594	0.0025	日经225指数	43641	华夏基金	跨境，日本
云计算ETF	516510	0.757	-0.0066	0.0013	2332.07	0.023	-0.2756	-0.2658	-	-	2.1	0.002	云计算指数	44293	易方达基金	主题，TMT，互联网
香港科技50ETF	159750	0.955	-0.0155	-0.0052	7148.11	0.1249	-	-	-	-	0.417	0.0065	港股科技港币指数	44606	招商基金	跨境，香港，科技
创蓝筹ETF	159966	0.523	-0.0169	-0.0038	1799.7	0.0987	-0.1929	-0.2496	-	-	5.57	0.006	创业蓝筹指数	43661	华夏基金	策略，低波动
创50ETF	588380	0.698	-0.0029	0	12841.98	0.0906	-0.1846	-	-	-	19.42	0.006	科创创业50指数	44383	富国基金	宽基，中小盘
日经ETF	159866	0.747	-0.0066	0.0081	72.81	-0.0732	-0.1746	-0.2019	-	-	0.733	0.0025	日经225指数	44294	工银瑞信基金	跨境，日本
创大盘ETF	159991	0.587	-0.0084	0	698.86	0.1442	-0.1517	-0.1554	-	-	0.925	0.003	创业大盘指数	43945	招商基金	宽基，中小盘
恒生科技HKETF	513890	0.879	-0.0255	0	2587.24	0.0838	-	-	-	-	2.1	0.0065	恒生科技指数	44582	上投摩根基金	跨境，香港，科技
800ETF	515800	1.2	-0.0115	0	3859.82	0.084	-0.0984	-0.0847	-	-	18.47	0.002	中证800指数	43815	汇添富基金	宽基，综合
保险证券ETF	515630	1.034	-0.0115	0	960.45	0.0704	-0.1661	-0.0946	-	-	1.3	0.006	800证保指数	43924	鹏华基金	行业，金融，证券保险
军工ETF基金	512680	1.215	-0.0122	-0.0016	6526.79	0.0667	-0.1862	0.1096	0.5779	0.3949	30.92	0.006	中证军工指数	42657	广发基金	行业，军工
碳中和50ETF	159861	1.596	-0.0006	0	3340.94	0.184	0.014	0.2647	-	-	4.77	0.006	环保50指数	44288	国泰基金	主题，环保，新兴产业
科技ETF	159807	0.639	-0.0078	0.0016	3667.25	0.0721	-0.2131	-0.2482	-	-	5.89	0.002	科技50指数	43920	易方达基金	主题，新兴产业，科技
科技150ETF	512220	1.449	0.0076	0.0119	483.51	0.0365	-0.237	-0.2078	0.228	0.0805	2.38	0.006	TMT150指数	41870	景顺长城基金	行业，TMT
粤港澳大湾区ETF	159983	1.161	-0.0119	-0.0043	248.44	0.0545	-0.1355	-0.1737	-	-	0.698	0.004	湾创100指数	43944	华夏基金	主题，区域，大湾区
大数据ETF	159739	0.73	-0.0108	-0.0014	573.43	0.0181	-0.2765	-	-	-	0.857	0.006	云计算指数	44517	鹏华基金	主题，TMT，互联网
上证指数ETF	510210	0.965	-0.0103	0.0042	6540.9	0.057	-0.0539	-0.001	0.3147	0.3226	6.78	0.006	上证指数	40627	富国基金	宽基，综合
恒生ETF	513660	2.195	-0.0236	-0.0045	6613.99	0.0087	-0.0452	-0.1764	-0.1828	-0.0423	19.61	0.006	香港恒生指数	42030	华夏基金	跨境，香港
新能源汽车ETF	516390	1.286	-0.0077	0.0008	3179.14	0.2155	0.0223	0.1251	-	-	2.97	0.002	新能源车指数	44365	汇添富基金	主题，新兴产业，新能源车
双创ETF	588300	0.699	-0.0014	0	8124.3	0.0939	-0.1796	-0.2867	-	-	17.01	0.006	科创创业50指数	44382	招商基金	宽基，中小盘
券商ETF基金	515010	1.071	-0.0083	0.0028	1568.11	0.0699	-0.1893	-0.0815	-	-	9.34	0.006	证券公司指数	43776	华夏基金	行业，金融，证券
活跃国债ETF	511020	105.501	0.0004	0	9.3	-0.0056	0.0101	0.0384	0.1006	-	11.78	0.003	中证平安5-10年国债指数	43518	平安基金	债券，国债，利率债
金融地产ETF	159940	0.949	-0.0156	0.0011	375.65	0.0486	-0.0927	-0.1056	-0.0604	0.0908	20.47	0.006	全指金融	42111	广发基金	行业，金融
芯片龙头ETF	516640	0.728	0.0153	0	5113.1	0.0297	-0.2304	-	-	-	5.35	0.006	芯片产业指数	44435	富国基金	行业，半导体，芯片
互联网龙头ETF	159856	0.562	-0.0175	-0.0018	1747.11	0.0624	-0.2073	-0.3317	-	-	4.44	0.0052	SHS互联网人民币指数	44228	工银瑞信基金	主题，互联网
传媒ETF	159805	0.834	-0.0153	0	1393.8	-0.0036	-0.2785	-0.1783	-	-	1.73	0.006	中证传媒指数	43938	鹏华基金	行业，TMT，传媒
化工ETF	516020	0.988	-0.0247	0.002	1896.88	0.1126	-0.0545	-0.0189	-	-	3.81	0.006	细分化工指数	44263	华宝基金	行业，化工
生物医药ETF	159859	0.737	-0.0107	0.0014	2970.98	0.1945	-0.1023	-	-	-	11.04	0.006	生物医药指数	44384	天弘基金	行业，医药，生物科技
科技龙头ETF	516050	0.672	-0.003	-0.0015	2314.21	0.0484	-0.2575	-0.2941	-	-	5.9	0.0052	科技龙头指数	44232	工银瑞信基金	主题，新兴产业，科技
沪港深300ETF	517300	0.774	-0.014	-0.0039	272.16	0.0691	-0.0808	-0.139	-	-	21.42	0.006	沪港深300指数	44251	国寿安保基金	宽基，大盘股
双创50ETF基金	159782	0.685	0.0015	0	1407.6	0.0873	-0.1796	-	-	-	9.75	0.006	科创创业50指数	44384	银华基金	宽基，中小盘
食品饮料ETF	159843	0.887	-0.021	0.0011	2493.92	0.1185	-0.0722	-0.0731	-	-	2.32	0.006	国证食品指数	44232	招商基金	行业，食品饮料
游戏沪港深ETF	517500	0.927	-0.0117	-0.0011	246.36	0.0022	-	-	-	-	3.24	0.006	SHS动漫游戏指数	44635	国泰基金	主题，游戏
双创龙头ETF	159603	1.056	0.0019	0	2311.7	-	-	-	-	-	3.23	0.006	科创创业50指数	44720	天弘基金	宽基，中小盘
港股通100ETF	159788	0.987	-0.0179	-0.008	483.87	0.0324	-	-	-	-	2.54	0.002	HKC中国100港元指数	44622	易方达基金	跨境，香港
证券ETF易方达	512570	0.939	-0.0074	0.0032	854.87	0.0695	-0.1933	-0.0928	0.0108	-	1.74	0.006	证券公司指数	42958	易方达基金	行业，金融，证券
稀土ETF	159713	0.966	-0.0163	0	4864.78	0.1338	-0.0844	-	-	-	3.26	0.006	稀土产业指数	44424	富国基金	主题，稀土
生物药ETF	159839	0.7	-0.0099	0.0043	3719.27	0.1925	-0.1083	-0.2986	-	-	3.41	0.006	生物医药指数	44249	汇添富基金	主题，新兴产业，生物科技
创新100ETF	515200	1.805	-0.0137	-0.0061	517.32	0.0789	-0.1671	-0.138	-	-	2.34	0.006	创新100指数	43784	申万菱信基金	主题，新兴产业，科技
国货ETF	561130	0.887	-0.0177	-0.0011	2913.49	0.1129	-0.1312	-	-	-	2.34	0.006	品牌工程指数	44487	富国基金	主题，国产品牌
基本面50ETF	512750	1.081	-0.0137	0.0009	1180.75	0.0325	-0.0101	-0.0073	0.0364	-	1.23	0.006	基本面50指数	43651	嘉实基金	策略，价值
券商ETF	159842	0.901	-0.011	0.0022	3136.57	0.0688	-0.1934	-0.0862	-	-	4.73	0.006	证券公司指数	44274	银华基金	行业，金融，证券
科创板龙头ETF	588060	0.706	0.0071	-0.0028	555.7	0.0115	-0.2173	-	-	-	2.37	0.006	科创50指数	44406	广发基金	宽基，中小盘
中证100ETF	512910	1.285	-0.0176	-0.0008	2547.88	0.0908	-0.0854	-0.1162	0.2427	-	3.41	0.006	中证100指数	43647	广发基金	宽基，大盘股
红利ETF博时	515890	1.322	-0.0193	-0.0008	1176.43	0.0173	0.0011	0.0263	-	-	2.59	0.002	中证红利指数	43941	博时基金	策略，红利
新能汽车ETF	516660	1.499	-0.0093	-0.0013	8269.85	0.2217	0.0317	0.1408	-	-	5.26	0.006	CS新能车指数	44253	华安基金	主题，新兴产业，新能源车
港股通互联网ETF	159792	0.736	-0.0252	-0.0014	31368.47	0.0969	-0.1372	-	-	-	2.76	0.006	HKC互联网指数	44467	富国基金	跨境，香港，互联网
中证1000ETF	159845	0.736	-0.0121	0.0014	12740.3	0.0824	-0.1249	0.0222	-	-	2.02	0.006	中证1000指数	44286	华夏基金	宽基，中小盘
黄金ETF	159934	3.689	-0.0194	0.0011	20649.16	-0.0403	0.0216	0.0208	0.1908	0.3734	40.41	0.006	黄金9999指数	41624	易方达基金	商品，黄金
恒生高股息ETF	513690	0.859	-0.0183	-0.0058	4876.36	-0.0356	0.0139	-0.1051	-	-	4.6	0.006	恒生高股息率指数	44336	博时基金	跨境，香港，策略，红利
化工产业ETF	516690	0.922	-0.0254	0	301.66	0.1095	-0.0524	-	-	-	0.853	0.006	细分化工指数	44551	银华基金	行业，化工
游戏动漫ETF	516770	0.786	-0.0175	0	1606.18	0.0038	-0.2848	-0.1665	-	-	1.11	0.006	动漫游戏指数	44260	华泰柏瑞基金	主题，游戏
消费电子50ETF	159733	0.823	0.0012	-0.0012	397.12	0.0073	-0.2781	-	-	-	0.36	0.006	消费电子指数	44468	景顺长城基金	主题，消费电子
有色50ETF	516650	1.216	-0.0209	0.0033	281.96	0.1333	0.0025	0.1648	-	-	0.288	0.006	细分有色指数	44368	华夏基金	行业，资源，有色金属
银行ETF天弘	515290	0.987	-0.014	-0.002	11110.98	0.0303	-0.013	-0.0886	-	-	71.92	0.006	中证银行指数	44193	天弘基金	行业，金融，银行
50ETF基金	510800	1.274	-0.017	-0.0008	1248.32	0.0852	-0.0741	-0.0945	0.2064	-	5.94	0.006	上证50指数	43115	建信基金	宽基，大盘股
新材料ETF	159703	1.198	-0.0148	-0.0033	1021.03	0.1745	-0.0172	0.063	-	-	0.574	0.006	新材料指数	44355	天弘基金	主题，新兴产业，新材料
嘉实央企创新ETF	515680	1.225	-0.0089	-0.0016	163.3	0.0208	-0.0912	0.1046	-	-	17.86	0.002	央企创新指数	43817	嘉实基金	主题，央企
物流ETF	516910	1.066	-0.0256	-0.0009	3012.69	-0.0414	-0.0698	0.0649	-	-	0.418	0.006	CS物流指数	44358	富国基金	行业，物流
小盘价值ETF	159990	1.265	-0.0224	-0.0008	78.95	0.0088	-0.082	0.0446	-	-	1.06	0.006	小盘价值指数	43850	银华基金	策略，价值
央企改革ETF	512950	1.228	-0.0144	0	233.09	0.0469	-0.0997	0.0337	0.2146	-	50.88	0.002	结构调整指数	43483	华夏基金	主题，央企
上证可转债ETF	511180	10.832	-0.0044	-0.0002	10525.61	0.0205	-0.032	0.0603	-	-	2.17	0.003	上证投资级转债及可交换债指数	44069	海富通基金	债券，可转债
黄金ETF基金	159937	3.723	-0.0195	0.0011	38484.62	-0.0405	0.0214	0.0211	0.1917	0.3779	64.81	0.006	黄金9999指数	41883	博时基金	商品，黄金
人工智能ETF	159819	0.769	-0.0013	0.0039	4061.79	0.0434	-0.2498	-0.2232	-	-	14.51	0.002	CS人工智能指数	44097	易方达基金	主题，新兴产业，人工智能
医药健康ETF	515960	1.047	-0.0178	0.001	1406.08	0.1595	-0.1333	-0.2819	-	-	3.2	0.006	医药健康100指数	43992	嘉实基金	行业，医药
车联网ETF	159872	0.928	0.0032	0	301.85	0.0642	-0.1463	-0.0757	-	-	0.374	0.006	CS车联网指数	44378	鹏华基金	主题，车联网
家电ETF	561120	0.975	-0.0112	-0.002	5032.53	0.0943	-	-	-	-	1.04	0.006	家用电器指数	44607	富国基金	行业，家电
银行ETF基金	512700	1.176	-0.0159	-0.0017	14507.69	0.0307	-0.0142	-0.0848	0.1571	-	23.28	0.006	中证银行指数	42942	南方基金	行业，金融，银行
5G50ETF	159811	0.943	0.0021	0.0021	1009.49	0.0032	-0.2586	-0.2148	-	-	2.6	0.0055	5G50指数	43943	博时基金	主题，新兴产业，5G
深成ETF	159903	1.483	-0.0153	-0.01	71.54	0.101	-0.1358	-0.1199	0.4315	0.2997	2.51	0.006	深证成指	40211	南方基金	宽基，综合
新材料ETF基金	516480	1.172	-0.0101	0.0009	99.89	0.1732	-0.0093	0.0703	-	-	0.28	0.006	新材料指数	44358	国联安基金	主题，新兴产业，新材料
互联网金融ETF	516100	0.781	-0.0139	-0.0026	145.35	0.0483	-0.2267	-	-	-	0.679	0.006	金融科技指数	44400	华夏基金	主题，金融科技
创新药沪深港ETF	517110	0.802	-0.0074	-0.0037	1500.18	0.2453	-0.0855	-	-	-	1.66	0.006	SHS创新药人民币指数	44469	国泰基金	行业，医药
证券龙头ETF	515850	1.145	-0.0087	0.0009	1686.73	0.0691	-0.1942	-0.0653	-	-	2.17	0.006	证券公司指数	43882	富国基金	行业，金融，证券
医疗产业ETF	159877	0.874	-0.0191	0	1162.88	0.1162	-0.1406	-	-	-	1.14	0.006	医疗保健指数	44503	南方基金	行业，医药，医疗保健
沪港深300ETF基金	517030	0.937	-0.0116	-0.0043	70.2	0.0696	-0.0796	-	-	-	0.403	0.002	沪港深300指数	44466	易方达基金	宽基，大盘股
创新药沪港深ETF	517380	0.773	-0.009	-0.0039	1303.45	0.227	-0.0676	-	-	-	2.06	0.006	恒生沪深港创新药精选50指数	44417	天弘基金	行业，医药
线上消费ETF	159725	0.71	-0.0193	0.0014	54.44	0.0216	-0.2658	-0.268	-	-	0.75	0.0052	线上消费指数	44379	工银瑞信基金	主题，线上消费
云50ETF	560660	0.697	-0.0085	-0.0014	67.49	0.0175	-0.2777	-	-	-	1.75	0.006	云计算50指数	44433	新华基金	行业，TMT，互联网
品牌消费ETF	517880	0.876	-0.0157	-0.0057	373.99	0.0567	-0.1169	-	-	-	0.517	0.006	SHS品牌消费50人民币指数	44531	华泰柏瑞基金	跨境，香港，消费
中证500ETF鹏华	159982	1.499	-0.0112	0.0007	912.4	0.0654	-0.1109	0.006	-	-	3.7	0.002	中证500指数	43881	鹏华基金	宽基，中小盘
创业板ETF广发	159952	1.643	-0.0079	-0.0012	3844.1	0.1394	-0.1561	-0.1613	0.8256	0.6029	18.37	0.002	创业板指	42874	广发基金	宽基，中小盘
机械ETF	159886	1.27	-0.0101	-0.0008	2766.97	0.1504	-0.0565	0.0717	-	-	0.485	0.006	细分机械指数	44314	富国基金	行业，机械
创科技ETF基金	159777	0.812	0.0214	0.0125	16.31	0.0943	-0.2016	-	-	-	0.173	0.006	创科技指数	44487	国联安基金	主题，新兴产业，科技
恒生指数ETF	513600	2.146	-0.021	-0.0056	4742.21	0.018	-0.0475	-0.1859	-0.2037	-0.0653	5.89	0.006	香港恒生指数	42030	南方基金	跨境，香港
家电ETF基金	560880	1.151	-0.0112	-0.0009	3199.55	0.1014	-	-	-	-	6.83	0.006	家用电器指数	44663	广发基金	行业，家电
恒生科技ETF基金	513580	0.613	-0.0254	-0.0016	9170.17	0.0869	-0.1243	-0.3615	-	-	4.91	0.006	恒生科技指数	44343	华安基金	跨境，香港，科技
